Purchase-date,Customer ID,Title,Quantity,Item Price,Total_Amount,Profit (INR),Category_OLTP,Ship-City,Ship-State
2018-01-13T03:23:04+00:00,B07FWXWXW,Political Theory,1,425.0,510.0,55.25,college,HYDERABAD,TELANGANA
2018-01-13T05:29:38+00:00,B07FWWWZV,"39 Years' Chapterwise Topicwise Solved Papers IIT JEE Mathematics, Chemistry, Physics",1,768.0,853.0,130.56,competition ,KOTTAYAM,KERALA
2018-01-13T10:50:58+00:00,B07FWXYTR,ESE 2020 Mains Examination: Electrical Engineering - Conventional Solved Papers - Paper - 2,1,640.0,725.0,108.8,competition ,AMRAVATI,MAHARASHTRA
2018-01-14T11:05:04+00:00,B07FWXBXU,39 Years' Chapterwise Topicwise Solved Papers (2020-1979) IIT JEE Chemistry,1,175.0,260.0,29.75,competition ,NAGPUR,MAHARASHTRA
2018-01-14T13:38:06+00:00,B07FWXYVT,English Grammar for Today: A New Introduction,1,959.0,1044.0,172.62,School,PALI,RAJASTHAN
2018-01-15T01:57:19+00:00,B07FWYBZQ,39 Years' Chapterwise Topicwise Solved Papers (2020-1979) IIT JEE Chemistry,1,175.0,260.0,29.75,competition ,TIRUPPUR,TAMIL NADU
2018-01-15T03:15:24+00:00,B07FWYTZV,Ordinary and Partial Differential Equations,1,899.0,984.0,116.87,college,UDHAM SINGH NAGAR,UTTARAKHAND
2018-01-15T03:40:40+00:00,B07FWXYYR,"39 Years' Chapterwise Topicwise Solved Papers IIT JEE Mathematics, Chemistry, Physics",1,768.0,853.0,130.56,competition ,COIMBATORE,TAMIL NADU
2018-01-15T03:59:26+00:00,B07FWXVVT,"39 Years' Chapterwise Topicwise Solved Papers IIT JEE Mathematics, Chemistry, Physics",1,768.0,853.0,130.56,competition ,VIRAR WEST,MAHARASHTRA
2018-01-15T04:33:30+00:00,B07FWWBRT,"39 Years' Chapterwise Topicwise Solved Papers IIT JEE Mathematics, Chemistry, Physics",1,768.0,853.0,130.56,competition ,KOTA,RAJASTHAN
2018-01-15T04:48:23+00:00,B07FWWSZU,Ordinary and Partial Differential Equations,1,899.0,984.0,116.87,college,BHILAI,CHHATTISGARH
2018-01-15T05:39:08+00:00,B07FWXYYW,Ordinary and Partial Differential Equations,1,899.0,984.0,116.87,college,KADAPA,ANDHRA PRADESH
2018-01-15T10:54:51+00:00,B07FWWWQW,Public Finance,1,465.0,550.0,60.45,college,KISHANGARH,RAJASTHAN
2018-01-15T11:18:53+00:00,B07FWWAXS,Ordinary and Partial Differential Equations,1,899.0,984.0,116.87,college,BILASPUR,CHATTISGARH
2018-01-15T13:57:40+00:00,B07FWYTUW,Political Theory,1,425.0,510.0,55.25,college,JORHAT,ASSAM
2018-01-15T14:36:22+00:00,B07FWYYYR,COMPREHENSIVE TEXTBOOK OF MEDICAL PHYSIOLOGY (2VOLS),1,1250.0,1335.0,162.5,college,NEW DELHI,DELHI
2018-01-15T15:47:52+00:00,B07FWWAZW,Ordinary and Partial Differential Equations,1,899.0,984.0,116.87,college,NAVI MUMBAI,MAHARASHTRA
2018-01-15T17:46:34+00:00,B07FWXXVY,Ordinary and Partial Differential Equations,1,899.0,984.0,116.87,college,MUMBAI,MAHARASHTRA
2018-01-16T13:54:24+00:00,B07FWYVTV,Ordinary and Partial Differential Equations,1,899.0,984.0,116.87,college,JORHAT,ASSAM
2018-01-17T04:18:18+00:00,B07FWYBZU,Public Finance,1,465.0,550.0,60.45,college,MOTIHARI,BIHAR
2018-01-17T08:25:54+00:00,B07FWWSXY,Public Finance,1,465.0,550.0,60.45,college,BINOLA INDUSTRIAL AREA,HARYANA
2018-01-17T11:53:10+00:00,B07FWYYWW,Ordinary and Partial Differential Equations,1,899.0,984.0,116.87,college,NARSINGHPUR,MADHYA PRADESH
2018-01-17T15:44:41+00:00,B07FWXAZU,Ordinary and Partial Differential Equations,1,899.0,984.0,116.87,college,BAGRU,RAJASTHAN
2018-01-17T18:52:56+00:00,B07FWWTTS,Ordinary and Partial Differential Equations,1,899.0,984.0,116.87,college,BALOTRA,RAJASTHAN
2018-01-18T10:08:06+00:00,B07FWWYZZ,39 Years' Chapterwise Topicwise Solved Papers IIT JEE MAIN (2020-1979) Combo Pack 3 Books Sets (Mathematics Chemistry Physics),1,680.0,765.0,115.6,competition ,PUNE,MAHARASHTRA
2018-01-18T20:08:00+00:00,B07FWVXYS,Ordinary and Partial Differential Equations,1,899.0,984.0,116.87,college,NEW DELHI,DELHI
2018-01-19T20:08:00+00:00,B07FWWTTS,Ordinary and Partial Differential Equations,1,899.0,984.0,116.87,college,BALOTRA,RAJASTHAN
2018-01-20T05:10:31+00:00,B07FWYAZW,Surveying - Vol. 2,1,494.0,579.0,64.22,college,PAURI,UTTARAKHAND
2018-01-20T09:18:09+00:00,B07FWWYTX,A Text Book of Optics,1,565.0,650.0,73.45,college,SILCHAR,ASSAM
2018-01-20T13:13:19+00:00,B07FWWZUT,Shigley's Mechanical Engineering Design - SIE,1,757.0,842.0,98.41,college,KHARAGPUR,WEST BENGAL
2018-01-20T15:17:44+00:00,B07FWVWUR,"Microwave Devices and Circuits, 3e",1,308.0,393.0,40.04,college,BURLA,ODISHA
2018-01-21T02:35:13+00:00,B07FWYVSS,Shigley's Mechanical Engineering Design - SIE,1,757.0,842.0,98.41,college,NAGPUR,MAHARASHTRA
2018-01-21T16:01:58+00:00,B07FWXSRX,"39 Years' Chapterwise Topicwise Solved Papers IIT JEE Mathematics, Chemistry, Physics",1,768.0,853.0,130.56,competition ,Jamnagar,GUJARAT
2018-01-21T16:47:03+00:00,B07FWYWVV,ESE 2018 Mains Examination: Electrical Engineering - Conventional Solved Papers - Paper - 2,1,640.0,725.0,108.8,competition ,CHENNAI,TAMIL NADU
2018-01-22T06:42:08+00:00,B07FWXYRV,ESE 2020 Mains Examination: Electronics & Telecommunication Engineering - Conventional Solved Papers - Paper - 2,1,450.0,535.0,76.5,competition ,BENGALURU,KARNATAKA
2018-01-22T07:43:40+00:00,B07FWWTZX,Cracking the CSAT Paper-2,1,595.0,680.0,101.15,competition ,MUMBAI,MAHARASHTRA
2018-01-22T08:11:51+00:00,B07FWWVWY,A Text Book of Optics,1,565.0,650.0,73.45,college,NEW DELHI,DELHI
2018-01-22T09:36:57+00:00,B07FWXTVZ,A Text Book of Optics,1,565.0,650.0,73.45,college,CHINNALAPATTI,TAMIL NADU
2018-01-22T10:13:38+00:00,B07FWXSZV,Cracking the CSAT Paper-2,1,595.0,680.0,101.15,competition ,THIRUVANANTHAPURAM,KERALA
2018-01-22T11:11:31+00:00,B07FWWYWV,Cracking the CSAT Paper-2,1,595.0,680.0,101.15,competition ,BENGALURU,KARNATAKA
2018-01-22T16:17:00+00:00,B07FWYTUR,Cracking the CSAT Paper-2,1,595.0,680.0,101.15,competition ,UDAIPUR,RAJASTHAN
2018-01-22T17:10:39+00:00,B07FWVVYW,Cracking the CSAT Paper-2,1,595.0,680.0,101.15,competition ,NOIDA,UTTAR PRADESH
2018-01-23T03:21:35+00:00,B07FWXUQY,Cracking the CSAT Paper-2,1,595.0,680.0,101.15,competition ,Pondicherry,Pondicherry
2018-01-23T09:25:04+00:00,B07FWYWVR,Public Finance,1,465.0,550.0,60.45,college,MOTIHARI,BIHAR
2018-01-23T23:56:55+00:00,B07FWVXWR,Lakshya - Rajasthan Police Sub - Inspector Exam Book Part - I,1,499.0,584.0,84.83,competition ,PUNE,MAHARASHTRA
2018-01-24T09:01:43+00:00,B07FWVYTY,"NEET Prep Guide 2019(With free bookletrevision points Physics,Chemistry,Biology)",1,899.0,984.0,152.83,competition ,JEHANABAD,BIHAR
2018-01-24T15:54:27+00:00,B07FWWSRT,Cracking the CSAT Paper-2,1,595.0,680.0,101.15,competition ,"THANE, Mira road",MAHARASHTRA
2018-01-24T16:41:37+00:00,B07FWXUXW,Cracking the CSAT Paper-2,1,595.0,680.0,101.15,competition ,palakkad,KERALA
2018-01-24T17:33:29+00:00,B07FWXSUY,Cracking the CSAT Paper-2,1,595.0,680.0,101.15,competition ,RAJKOT,GUJARAT
2018-01-24T18:37:20+00:00,B07FWWBUR,Cracking the CSAT Paper-2,1,595.0,680.0,101.15,competition ,BENGALURU,KARNATAKA
2018-01-25T02:48:25+00:00,B07FWVVUU,ESE 2019 Preliminary Exam: Civil Engineering - Topicwise Objective Solved Papers - Vol. 1,1,610.0,695.0,103.7,competition ,CHANDIGARH,CHANDIGARH
2018-01-25T03:02:19+00:00,B07FWWXTT,ESE 2019 Preliminary Exam: Civil Engineering - Topicwise Objective Solved Papers - Vol. 1,1,610.0,695.0,103.7,competition ,KOLKATA,WEST BENGAL
2018-01-25T09:29:43+00:00,B07FWVXUY,ESE 2019 Preliminary Exam: Civil Engineering - Topicwise Objective Solved Papers - Vol. 1,1,610.0,695.0,103.7,competition ,KOTA,RAJASTHAN
2018-01-25T09:29:43+00:00,B07FWWYQZ,ESE 2019 Preliminary Exam: Civil Engineering - Topicwise Objective Solved Papers - Vol. 2,1,615.0,700.0,104.55,competition ,KOTA,CHHATTISGARH
2018-01-25T10:41:11+00:00,B07FWYUYW,Objective Physics for NEET - Vol. 1,1,600.0,685.0,102.0,competition ,SILIGURI,WEST BENGAL
2018-01-25T13:08:41+00:00,B07FWYWWZ,"NEET Prep Guide 2019(With free bookletrevision points Physics,Chemistry,Biology)",1,899.0,984.0,152.83,competition ,Dharmapuri,TAMIL NADU
2018-01-25T17:06:53+00:00,B07FWYWYQ,Public Finance,1,465.0,550.0,60.45,college,ALLAHABAD,UTTAR PRADESH
2018-01-25T19:22:52+00:00,B07FWXVTT,Modern Operating Systems 4e,1,690.0,775.0,89.7,college,BHOPAL,MADHYA PRADESH
2018-01-25T20:54:29+00:00,B07FWXXQV,ESE 2018 Mains Examination: Electronics & Telecommunication Engineering - Conventional Solved Papers - Paper - 2,1,450.0,535.0,76.5,competition ,MANGALURU,KARNATAKA
2018-01-26T08:09:41+00:00,B07FWVYQW,ESE 2019 Preliminary Exam: Civil Engineering - Topicwise Objective Solved Papers - Vol. 2,1,615.0,700.0,104.55,competition ,ANANTAPUR,ANDHRA PRADESH
2018-01-26T09:09:08+00:00,B07FWXUWZ,39 Years' Chapterwise Topicwise Solved Papers (2020-1979) IIT JEE Physics,1,215.0,300.0,36.55,competition ,MEERUT,UTTAR PRADESH
2018-01-26T11:33:13+00:00,B07FWWUUU,ESE 2019 Preliminary Exam: Civil Engineering - Topicwise Objective Solved Papers - Vol. 2,1,615.0,700.0,104.55,competition ,CHATRA,JHARKHAND
2018-01-26T12:45:48+00:00,B07FWVZUR,Principles of Microeconomics( 21st Revised Edition)(By Dr.H.L.AHUJA),1,645.0,730.0,83.85,college,GAYA,BIHAR
2018-01-26T14:38:02+00:00,B07FWXVTW,ESE 2019 Preliminary Exam: Civil Engineering - Topicwise Objective Solved Papers - Vol. 2,1,615.0,700.0,104.55,competition ,SRINAGAR,JAMMU & KASHMIR
2018-01-26T14:38:02+00:00,B07FWVBXW,ESE 2019 Preliminary Exam: Civil Engineering - Topicwise Objective Solved Papers - Vol. 1,1,610.0,695.0,103.7,competition ,SRINAGAR,JAMMU & KASHMIR
2018-01-26T17:16:06+00:00,B07FWVVUZ,A Glossary of Literary Terms,1,225.0,310.0,40.5,School,NEW DELHI,DELHI
2018-01-26T19:05:26+00:00,B07FWWZXX,ESE 2019 Preliminary Exam: Civil Engineering - Topicwise Objective Solved Papers - Vol. 1,1,610.0,695.0,103.7,competition ,GANDHINAGAR,GUJARAT
2018-01-27T05:34:38+00:00,B07FWXVWW,39 Years' Chapterwise Topicwise Solved Papers (2020-1979) IIT JEE Physics,1,215.0,300.0,36.55,competition ,PATNA,BIHAR
2018-01-27T06:00:32+00:00,B07FWWWWW,39 Years' Chapterwise Topicwise Solved Papers (2020-1979) IIT JEE Physics,1,215.0,300.0,36.55,competition ,MUMBAI,MAHARASHTRA
2018-01-27T06:07:29+00:00,B07FWXUQU,39 Years' Chapterwise Topicwise Solved Papers (2020-1979) IIT JEE Physics,1,215.0,300.0,36.55,competition ,NAGPUR,MAHARASHTRA
2018-01-27T06:37:42+00:00,B07FWYWTV,39 Years' Chapterwise Topicwise Solved Papers (2020-1979) IIT JEE Physics,1,215.0,300.0,36.55,competition ,NEYYATTINKARA,KERALA
2018-01-27T07:58:08+00:00,B07FWXAYS,39 Years' Chapterwise Topicwise Solved Papers (2020-1979) IIT JEE Physics,1,215.0,300.0,36.55,competition ,NORTH WEST DELHI,DELHI
2018-01-27T08:44:47+00:00,B07FWVAVV,39 Years' Chapterwise Topicwise Solved Papers (2020-1979) IIT JEE Physics,1,215.0,300.0,36.55,competition ,LUCKNOW,UTTAR PRADESH
2018-01-27T11:17:58+00:00,B07FWXXUQ,A Glossary of Literary Terms,1,225.0,310.0,40.5,School,MARTHANDAM,TAMIL NADU
2018-01-27T11:52:45+00:00,B07FWXVRU,Public Finance,1,465.0,550.0,60.45,college,KOLKATA,WEST BENGAL
2018-01-28T02:17:49+00:00,B07FWXVQU,ESE 2019 Preliminary Exam: Civil Engineering - Topicwise Objective Solved Papers - Vol. 1,1,610.0,695.0,103.7,competition ,THUVAKUDI,TAMIL NADU
2018-01-28T04:05:59+00:00,B07FWWTRW,ESE 2019 Preliminary Exam: Civil Engineering - Topicwise Objective Solved Papers - Vol. 1,1,610.0,695.0,103.7,competition ,Chennai,Tamil nadu
2018-01-28T04:41:34+00:00,B07FWYWSS,Modern Operating Systems 4e,1,690.0,775.0,89.7,college,KOLKATA,WEST BENGAL
2018-01-28T10:25:18+00:00,B07FWVYZQ,39 Years' Chapterwise Topicwise Solved Papers (2020-1979) IIT JEE Physics,1,215.0,300.0,36.55,competition ,MUMBAI,MAHARASHTRA
2018-01-29T11:40:42+00:00,B07FWYVYU,ESE 2019 Preliminary Exam: Civil Engineering - Topicwise Objective Solved Papers - Vol. 1,1,610.0,695.0,103.7,competition ,UDAIPUR,RAJASTHAN
2018-01-30T12:20:19+00:00,B07FWVXYQ,Shigley's Mechanical Engineering Design - SIE,1,757.0,842.0,98.41,college,LUCKNOW,UTTAR PRADESH
2018-01-30T16:42:34+00:00,B07FWVVRR,"Lakshy REET Prayavaran Adhyan Ganit & Balvikas Class 1 - 5, Level - I 2018-18",1,305.0,390.0,51.85,competition ,KHARKHODA,HARYANA
2018-01-30T17:53:30+00:00,B07FWVVYQ,Textbook of Refrigeration and Air-conditioning (M.E.),1,610.0,695.0,79.3,college,GURUGRAM,HARYANA
2018-01-31T03:29:41+00:00,B07FWXZTT,Textbook of Refrigeration and Air-conditioning (M.E.),1,610.0,695.0,79.3,college,NAVI MUMBAI,MAHARASHTRA
2018-01-31T05:10:27+00:00,B07FWWBZQ,Shigley's Mechanical Engineering Design - SIE,2,1514.0,1684.0,196.82,college,INDORE,MADHYA PRADESH
2018-01-31T08:10:55+00:00,B07FWWYRT,Textbook of Refrigeration and Air-conditioning (M.E.),1,610.0,695.0,79.3,college,AJMER,RAJASTHAN
2018-01-31T10:36:08+00:00,B07FWXZVZ,Database System Concepts (Int'l Ed),1,999.0,1084.0,129.87,college,DURGAPUR,WEST BENGAL
2018-02-01T16:12:57+00:00,B07FWXWYZ,Digital Logic and Computer Design (Old Edition),1,625.0,710.0,81.25,college,GORAKHPUR,UTTAR PRADESH
2018-02-02T13:11:54+00:00,B07FWYVYU,ESE 2019 Preliminary Exam: Civil Engineering - Topicwise Objective Solved Papers - Vol. 1,1,610.0,695.0,103.7,competition ,UDAIPUR,RAJASTHAN
2018-02-03T19:56:10+00:00,B07FWXBYY,English Grammar for Today: A New Introduction,1,959.0,1044.0,172.62,School,MUMBAI,MAHARASHTRA
2018-02-04T10:17:20+00:00,B07FWXZYW,39 Years' Chapterwise Topicwise Solved Papers (2020-1979) IIT JEE Mathematics,1,200.0,285.0,34.0,competition ,NEW DELHI,DELHI
2018-02-05T06:24:10+00:00,B07FWWSYU,Ordinary and Partial Differential Equations,1,899.0,984.0,116.87,college,PATNA,BIHAR
2018-02-05T18:22:51+00:00,B07FWVXUT,Guide to RRB Electrical Engg. (Senior Section Engineer) 2016,1,576.0,661.0,97.92,competition ,ROHTAK,HARYANA
2018-02-05T19:02:21+00:00,B07FWVYWU,"Microwave Devices and Circuits, 3e",1,308.0,393.0,40.04,college,"Best County -II , MS Palya , Vidyaranyp BENGALURU",KARNATAKA
2018-02-06T03:30:30+00:00,B07FWXTVS,Database Systems Concepts,1,910.0,995.0,118.3,college,NASHIK,MAHARASHTRA
2018-02-06T07:22:36+00:00,B07FWYBZY,COMPREHENSIVE GUIDE FOR NURSING COMPETITIVE EXAM,1,576.0,661.0,97.92,competition ,HYDERABAD,TELANGANA
2018-02-06T09:24:27+00:00,B07FWXVXT,Fundamentals of Applied Statistics,1,775.0,860.0,100.75,college,JAIPUR,RAJASTHAN
2018-02-06T11:03:10+00:00,B07FWYUST,A Text Book of Optics,1,565.0,650.0,73.45,college,THANJAVUR,TAMIL NADU
2018-02-06T16:58:56+00:00,B07FWVYUW,Principles of Microeconomics( 21st Revised Edition)(By Dr.H.L.AHUJA),1,645.0,730.0,83.85,college,BENGALURU,KARNATAKA
2018-02-06T16:58:56+00:00,B07FWVZSV,Advanced Economic Theory,1,723.0,808.0,93.99,college,BENGALURU,KARNATAKA
2018-02-06T17:36:34+00:00,B07FWXAYW,Advanced Economic Theory,1,723.0,808.0,93.99,college,SAMBALPUR,ODISHA
2018-02-07T04:04:27+00:00,B07FWXAZV,English Grammar for Today: A New Introduction,1,959.0,1044.0,172.62,School,MUMBAI,MAHARASHTRA
2018-02-07T09:40:17+00:00,B07FWYTYX,COMPREHENSIVE GUIDE FOR NURSING COMPETITIVE EXAM,1,576.0,661.0,97.92,competition ,NARASARAOPET,AP
2018-02-08T08:40:01+00:00,B07FWYZXY,Lakshya - Rajasthan Police Sub - Inspector Exam COMBO Part 1 and Part 2 (First Edition ; 2016),1,430.0,515.0,73.1,competition ,RIICO INDUSTRIAL AREA NEEMRANA,RAJASTHAN
2018-02-08T15:38:18+00:00,B07FWYTSZ,Clinical Pathology Haematology and Blood Banking (for DMLT Students),1,385.0,470.0,50.05,college,DHARMAPURI,TAMIL NADU
2018-02-08T15:46:21+00:00,B07FWXYSR,Clinical Pathology Haematology and Blood Banking (for DMLT Students),1,385.0,470.0,50.05,college,DHARMAPURI,TAMIL NADU
2018-02-09T06:17:48+00:00,B07FWXYSQ,Surveying - Vol. 2,1,494.0,579.0,64.22,college,vpo mohal teh. bhuntar distt. kullu,HIMACHAL PRADESH
2018-02-09T14:59:23+00:00,B07FWXBUQ,Principles of Microeconomics( 21st Revised Edition)(By Dr.H.L.AHUJA),1,645.0,730.0,83.85,college,ALAMCODE THIRUVANANTHAPURAM DISTRICT,KERALA
2018-02-09T15:39:09+00:00,B07FWXYTQ,Clinical Pathology Haematology and Blood Banking (for DMLT Students),1,385.0,470.0,50.05,college,BHOPAL,MADHYA PRADESH
2018-02-09T17:03:44+00:00,B07FWXAQU,ESE 2019 Preliminary Exam: Civil Engineering - Topicwise Objective Solved Papers - Vol. 2,1,615.0,700.0,104.55,competition ,SURAT,GUJARAT
2018-02-09T17:38:18+00:00,B07FWVZRY,ESE 2019 Preliminary Exam: Civil Engineering - Topicwise Objective Solved Papers - Vol. 2,1,615.0,700.0,104.55,competition ,Ashti,MAHARASHTRA
2018-02-10T05:43:42+00:00,B07FWYVYW,Lakshya - Rajasthan Police Sub - Inspector Exam COMBO Part 1 and Part 2 (First Edition ; 2016),1,430.0,515.0,73.1,competition ,KARWAR,KARNATAKA
2018-02-10T07:22:54+00:00,B07FWVWVZ,COMPREHENSIVE GUIDE FOR NURSING COMPETITIVE EXAM,1,576.0,661.0,97.92,competition ,NAWANSHAHR,PUNJAB
2018-02-10T16:15:18+00:00,B07FWVVRT,Database Systems Concepts,1,910.0,995.0,118.3,college,GUNTUR,ANDHRA PRADESH
2018-02-10T16:48:00+00:00,B07FWWUYZ,Principles of Microeconomics( 21st Revised Edition)(By Dr.H.L.AHUJA),1,645.0,730.0,83.85,college,RUDRAPUR,UTTARAKHAND
2018-02-11T04:51:16+00:00,B07FWXVWQ,Shigley's Mechanical Engineering Design - SIE,1,757.0,842.0,98.41,college,SHIRPUR,MAHARASHTRA
2018-02-11T08:34:21+00:00,B07FWWSUR,COMPREHENSIVE GUIDE FOR NURSING COMPETITIVE EXAM,1,576.0,661.0,97.92,competition ,MAHESANA,GUJARAT
